"companyCardWrapper__companyLogo src","companyCardWrapper__companyName","g-btn__label","rating_text","companyCardWrapper__companyRatingCount","companyCardWrapper__interLinking","companyCardWrapper__ratingHeader src","companyCardWrapper__ratingHeader--critical","companyCardWrapper__ratingValues","salaryInsightsText","designationSelectionText","companyCardWrapper__ActionWrapper href","companyCardWrapper__ActionCount","companyCardWrapper__ActionTitle","companyCardWrapper__ActionWrapper href 2","companyCardWrapper__ActionCount 2","companyCardWrapper__ActionTitle 2","companyCardWrapper__ActionWrapper href 3","companyCardWrapper__ActionCount 3","companyCardWrapper__ActionTitle 3","companyCardWrapper__ActionWrapper href 4","companyCardWrapper__ActionCount 4","companyCardWrapper__ActionTitle 4","companyCardWrapper__ActionWrapper href 5","companyCardWrapper__ActionCount 5","companyCardWrapper__ActionTitle 5","companyCardWrapper__ActionWrapper href 6","companyCardWrapper__ActionCount 6","companyCardWrapper__ActionTitle 6","companyCardWrapper__ratingHeader--high","companyCardWrapper__ratingHeader src 2","companyCardWrapper__ratingValues 2","companyCardWrapper__companyVerified src"
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vdGNzLW9yaWdpbmFsLmpwZw.webp","TCS","Follow","3.2","(1.2L)","IT Services & Consulting | Bengaluru +486 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/tcs-reviews","1.2L","Reviews","https://www.ambitionbox.com/salaries/tcs-salaries","10.4L","Salaries","https://www.ambitionbox.com/interviews/tcs-interview-questions","11.5k","Interviews","https://www.ambitionbox.com/jobs/tcs-jobs-cmp","4.3k","Jobs","https://www.ambitionbox.com/benefits/tcs-benefits","11.3k","Benefits","https://www.ambitionbox.com/photos/tcs-photos","100","Photos","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vYWNjZW50dXJlLW9yaWdpbmFsLmpwZw.webp","Accenture","Follow","3.7","(79.1k)","IT Services & Consulting | Bengaluru +289 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/accenture-reviews","79.1k","Reviews","https://www.ambitionbox.com/salaries/accenture-salaries","7.2L","Salaries","https://www.ambitionbox.com/interviews/accenture-interview-questions","9.6k","Interviews","https://www.ambitionbox.com/jobs/accenture-jobs-cmp","15.6k","Jobs","https://www.ambitionbox.com/benefits/accenture-benefits","7.2k","Benefits","https://www.ambitionbox.com/photos/accenture-photos","49","Photos","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vd2lwcm8tb3JpZ2luYWwuanBn.webp","Wipro","Follow","3.6","(69.5k)","IT Services & Consulting | Hyderabad +400 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/wipro-reviews","69.5k","Reviews","https://www.ambitionbox.com/salaries/wipro-salaries","4.9L","Salaries","https://www.ambitionbox.com/interviews/wipro-interview-questions","7.1k","Interviews","https://www.ambitionbox.com/jobs/wipro-jobs-cmp","6","Jobs","https://www.ambitionbox.com/benefits/wipro-benefits","5.1k","Benefits","https://www.ambitionbox.com/photos/wipro-photos","123","Photos","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vY29nbml6YW50LW9yaWdpbmFsLmpwZw.webp","Cognizant","Follow","3.7","(65.6k)","IT Services & Consulting | Hyderabad +257 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/cognizant-reviews","65.6k","Reviews","https://www.ambitionbox.com/salaries/cognizant-salaries","6L","Salaries","https://www.ambitionbox.com/interviews/cognizant-interview-questions","6.7k","Interviews","https://www.ambitionbox.com/jobs/cognizant-jobs-cmp","731","Jobs","https://www.ambitionbox.com/benefits/cognizant-benefits","5.8k","Benefits","https://www.ambitionbox.com/photos/cognizant-photos","105","Photos","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vY2FwZ2VtaW5pLW9yaWdpbmFsLmpwZw.webp","Capgemini","Follow","3.6","(57.6k)","IT Services & Consulting | Bengaluru +213 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Work Life Balance, Job Security","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/capgemini-reviews","57.6k","Reviews","https://www.ambitionbox.com/salaries/capgemini-salaries","4.9L","Salaries","https://www.ambitionbox.com/interviews/capgemini-interview-questions","5.7k","Interviews","https://www.ambitionbox.com/jobs/capgemini-jobs-cmp","2k","Jobs","https://www.ambitionbox.com/benefits/capgemini-benefits","4k","Benefits","https://www.ambitionbox.com/photos/capgemini-photos","54","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions, Salary, Work Satisfaction",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vaGRmYy1iYW5rLW9yaWdpbmFsLmpwZw.webp","HDFC Bank","Follow","3.8","(57.3k)","Banking | Mumbai +1942 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Job Security","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/hdfc-bank-reviews","57.3k","Reviews","https://www.ambitionbox.com/salaries/hdfc-bank-salaries","1.5L","Salaries","https://www.ambitionbox.com/interviews/hdfc-bank-interview-questions","3.3k","Interviews","https://www.ambitionbox.com/jobs/hdfc-bank-jobs-cmp","385","Jobs","https://www.ambitionbox.com/benefits/hdfc-bank-benefits","3.6k","Benefits","https://www.ambitionbox.com/photos/hdfc-bank-photos","116","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions, Salary",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vaW5mb3N5cy1vcmlnaW5hbC5qcGc.webp","Infosys","Follow","3.5","(52.3k)","IT Services & Consulting | Bengaluru +265 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Job Security","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/infosys-reviews","52.3k","Reviews","https://www.ambitionbox.com/salaries/infosys-salaries","5.4L","Salaries","https://www.ambitionbox.com/interviews/infosys-interview-questions","8.7k","Interviews","https://www.ambitionbox.com/jobs/infosys-jobs-cmp","4.2k","Jobs","https://www.ambitionbox.com/benefits/infosys-benefits","5k","Benefits","https://www.ambitionbox.com/photos/infosys-photos","121","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions, Salary, Work Satisfaction","https://static.ambitionbox.com/static/company-overview/premium-employer.svg"
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vaGNsLXRlY2hub2xvZ2llcy1vcmlnaW5hbC5qcGc.webp","HCLTech","Follow","3.4","(49.5k)","IT Services & Consulting | Bengaluru +258 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/hcl-technologies-reviews","49.5k","Reviews","https://www.ambitionbox.com/salaries/hcl-technologies-salaries","3.9L","Salaries","https://www.ambitionbox.com/interviews/hcl-technologies-interview-questions","4.7k","Interviews","https://www.ambitionbox.com/jobs/hcl-technologies-jobs-cmp","357","Jobs","https://www.ambitionbox.com/benefits/hcl-technologies-benefits","4.1k","Benefits","https://www.ambitionbox.com/photos/hcl-technologies-photos","74","Photos","","","","https://static.ambitionbox.com/static/company-overview/premium-employer.svg"
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vaWNpY2ktYmFuay1vcmlnaW5hbC5qcGc.webp","ICICI Bank","Follow","4.0","(48.7k)","Banking | Mumbai +1496 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","","Job Security, Promotions, Skill Development","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/icici-bank-reviews","48.7k","Reviews","https://www.ambitionbox.com/salaries/icici-bank-salaries","1.6L","Salaries","https://www.ambitionbox.com/interviews/icici-bank-interview-questions","3.1k","Interviews","https://www.ambitionbox.com/jobs/icici-bank-jobs-cmp","39","Jobs","https://www.ambitionbox.com/benefits/icici-bank-benefits","3.9k","Benefits","https://www.ambitionbox.com/photos/icici-bank-photos","74","Photos","Highly Rated For","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vdGVjaC1tYWhpbmRyYS1vcmlnaW5hbC5qcGc.webp","Tech Mahindra","Follow","3.3","(46.6k)","IT Services & Consulting | Hyderabad +341 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/tech-mahindra-reviews","46.6k","Reviews","https://www.ambitionbox.com/salaries/tech-mahindra-salaries","2.8L","Salaries","https://www.ambitionbox.com/interviews/tech-mahindra-interview-questions","4.8k","Interviews","https://www.ambitionbox.com/jobs/tech-mahindra-jobs-cmp","699","Jobs","https://www.ambitionbox.com/benefits/tech-mahindra-benefits","3.6k","Benefits","https://www.ambitionbox.com/photos/tech-mahindra-photos","91","Photos","","","","https://static.ambitionbox.com/static/company-overview/premium-employer.svg"
