date,store,product_name,category,units_sold,unit_price_bdt,discount_pct,revenue_bdt,is_weekend,is_festival,festival_name,is_promotion,payment_method,customer_type
2024-01-01,Chattogram,Soft Drink 1.5L,Beverages,22,118.31,0.0,2602.82,0,0,None,0,bKash,Wholesale
2024-01-01,Chattogram,Mineral Water 1L,Beverages,28,23.9,0.0,669.2,0,0,None,0,Nagad,Walk-in
2024-01-01,Chattogram,Panjabi (Ready-made),Fashion,4,1010.68,0.0,4042.72,0,0,None,0,Cash,Regular
2024-01-01,Chattogram,Saree (Cotton),Fashion,4,1522.01,0.0,6088.04,0,0,None,0,Cash,Regular
2024-01-01,Chattogram,Rice (Miniket) 5kg,Grocery,15,424.25,0.0,6363.75,0,0,None,0,Cash,Walk-in
2024-01-01,Chattogram,Soybean Oil 5L,Grocery,9,778.95,0.0,7010.55,0,0,None,0,bKash,Regular
2024-01-01,Chattogram,Lentils (Masoor Dal) 1kg,Grocery,9,136.31,0.0,1226.79,0,0,None,0,Nagad,Regular
2024-01-01,Chattogram,Sugar 1kg,Grocery,8,130.12,0.0,1040.96,0,0,None,0,Cash,Wholesale
2024-01-01,Chattogram,Tea (Ispahani) 400g,Grocery,7,257.44,0.0,1802.08,0,0,None,0,bKash,Regular
2024-01-01,Chattogram,Detergent Powder 1kg,Household,11,176.06,0.0,1936.66,0,0,None,0,Nagad,Walk-in
2024-01-01,Chattogram,Toothpaste 100g,Personal Care,12,91.97,0.0,1103.64,0,0,None,0,Card,Regular
2024-01-01,Chattogram,Hand Sanitizer 200ml,Personal Care,6,116.84,0.0,701.04,0,0,None,0,Nagad,Regular
2024-01-01,Chattogram,Instant Noodles (Pack),Snacks,42,19.91,0.0,836.22,0,0,None,0,Card,Walk-in
2024-01-01,Chattogram,Biscuits (Family Pack),Snacks,20,90.48,0.0,1809.6,0,0,None,0,Cash,Walk-in
2024-01-01,Chattogram,Notebook (200 pages),Stationery,31,47.33,0.0,1467.23,0,0,None,0,Cash,Walk-in
2024-01-01,Dhanmondi,Soft Drink 1.5L,Beverages,31,117.07,0.0,3629.17,0,0,None,0,Card,Walk-in
2024-01-01,Dhanmondi,Mineral Water 1L,Beverages,34,25.46,0.0,865.64,0,0,None,0,Cash,Walk-in
2024-01-01,Dhanmondi,Panjabi (Ready-made),Fashion,7,958.24,0.0,6707.68,0,0,None,0,Nagad,Regular
2024-01-01,Dhanmondi,Saree (Cotton),Fashion,4,1380.24,0.0,5520.96,0,0,None,0,bKash,Walk-in
2024-01-01,Dhanmondi,Rice (Miniket) 5kg,Grocery,17,429.46,0.0,7300.82,0,0,None,0,Nagad,Walk-in
2024-01-01,Dhanmondi,Soybean Oil 5L,Grocery,9,833.18,0.0,7498.62,0,0,None,0,Nagad,Walk-in
2024-01-01,Dhanmondi,Lentils (Masoor Dal) 1kg,Grocery,14,143.69,0.0,2011.66,0,0,None,0,Card,Regular
2024-01-01,Dhanmondi,Sugar 1kg,Grocery,17,131.82,0.0,2240.94,0,0,None,0,Cash,Regular
2024-01-01,Dhanmondi,Tea (Ispahani) 400g,Grocery,9,266.85,0.0,2401.65,0,0,None,0,bKash,Regular
2024-01-01,Dhanmondi,Detergent Powder 1kg,Household,11,175.55,0.0,1931.05,0,0,None,0,Nagad,Walk-in
2024-01-01,Dhanmondi,Toothpaste 100g,Personal Care,19,93.1,0.0,1768.9,0,0,None,0,Nagad,Walk-in
2024-01-01,Dhanmondi,Hand Sanitizer 200ml,Personal Care,10,123.14,0.0,1231.4,0,0,None,0,Cash,Walk-in
2024-01-01,Dhanmondi,Instant Noodles (Pack),Snacks,40,20.73,0.0,829.2,0,0,None,0,Card,Regular
2024-01-01,Dhanmondi,Biscuits (Family Pack),Snacks,24,91.44,0.0,2194.56,0,0,None,0,Cash,Walk-in
2024-01-01,Dhanmondi,Notebook (200 pages),Stationery,50,43.83,0.0,2191.5,0,0,None,0,bKash,Regular
2024-01-01,Gulshan,Soft Drink 1.5L,Beverages,36,109.67,0.0,3948.12,0,0,None,0,Cash,Regular
2024-01-01,Gulshan,Mineral Water 1L,Beverages,32,23.91,0.0,765.12,0,0,None,0,Cash,Wholesale
2024-01-01,Gulshan,Panjabi (Ready-made),Fashion,8,956.78,0.0,7654.24,0,0,None,0,Cash,Regular
2024-01-01,Gulshan,Saree (Cotton),Fashion,5,1377.76,0.0,6888.8,0,0,None,0,bKash,Regular
2024-01-01,Gulshan,Rice (Miniket) 5kg,Grocery,24,427.39,0.0,10257.36,0,0,None,0,bKash,Walk-in
2024-01-01,Gulshan,Soybean Oil 5L,Grocery,12,818.49,0.0,9821.88,0,0,None,0,Cash,Walk-in
2024-01-01,Gulshan,Lentils (Masoor Dal) 1kg,Grocery,14,135.24,0.0,1893.36,0,0,None,0,Cash,Walk-in
2024-01-01,Gulshan,Sugar 1kg,Grocery,16,132.69,0.0,2123.04,0,0,None,0,bKash,Regular
2024-01-01,Gulshan,Tea (Ispahani) 400g,Grocery,13,257.59,0.0,3348.67,0,0,None,0,Nagad,Walk-in
2024-01-01,Gulshan,Detergent Powder 1kg,Household,15,175.11,0.0,2626.65,0,0,None,0,Cash,Wholesale
2024-01-01,Gulshan,Toothpaste 100g,Personal Care,18,97.1,0.0,1747.8,0,0,None,0,bKash,Walk-in
2024-01-01,Gulshan,Hand Sanitizer 200ml,Personal Care,9,118.78,0.0,1069.02,0,0,None,0,bKash,Walk-in
2024-01-01,Gulshan,Instant Noodles (Pack),Snacks,49,19.77,0.0,968.73,0,0,None,0,Nagad,Walk-in
2024-01-01,Gulshan,Biscuits (Family Pack),Snacks,26,90.03,0.0,2340.78,0,0,None,0,Cash,Regular
2024-01-01,Gulshan,Notebook (200 pages),Stationery,57,44.68,0.0,2546.76,0,0,None,0,Cash,Walk-in
2024-01-01,Uttara,Soft Drink 1.5L,Beverages,31,106.09,5.6,3104.62,0,0,None,1,bKash,Walk-in
2024-01-01,Uttara,Mineral Water 1L,Beverages,40,25.63,9.8,924.73,0,0,None,1,Card,Walk-in
2024-01-01,Uttara,Panjabi (Ready-made),Fashion,9,962.22,16.2,7257.06,0,0,None,1,Cash,Wholesale
2024-01-01,Uttara,Saree (Cotton),Fashion,4,1469.34,17.5,4848.82,0,0,None,1,Cash,Walk-in
2024-01-01,Uttara,Rice (Miniket) 5kg,Grocery,30,430.52,7.2,11985.68,0,0,None,1,Cash,Regular
2024-01-01,Uttara,Soybean Oil 5L,Grocery,12,806.93,13.7,8356.57,0,0,None,1,Cash,Regular
2024-01-01,Uttara,Lentils (Masoor Dal) 1kg,Grocery,18,133.82,12.2,2114.89,0,0,None,1,Nagad,Walk-in
2024-01-01,Uttara,Sugar 1kg,Grocery,22,141.36,19.1,2515.93,0,0,None,1,bKash,Walk-in
2024-01-01,Uttara,Tea (Ispahani) 400g,Grocery,13,253.66,12.8,2875.49,0,0,None,1,bKash,Walk-in
2024-01-01,Uttara,Detergent Powder 1kg,Household,14,179.78,19.0,2038.71,0,0,None,1,Cash,Walk-in
2024-01-01,Uttara,Toothpaste 100g,Personal Care,16,91.36,18.4,1192.8,0,0,None,1,Nagad,Regular
2024-01-01,Uttara,Hand Sanitizer 200ml,Personal Care,11,121.03,9.7,1202.19,0,0,None,1,Nagad,Regular
2024-01-01,Uttara,Instant Noodles (Pack),Snacks,64,20.09,7.1,1194.47,0,0,None,1,bKash,Walk-in
2024-01-01,Uttara,Biscuits (Family Pack),Snacks,27,89.85,15.9,2040.22,0,0,None,1,Nagad,Walk-in
2024-01-01,Uttara,Notebook (200 pages),Stationery,58,43.51,9.7,2278.79,0,0,None,1,Nagad,Wholesale
2024-01-02,Chattogram,Soft Drink 1.5L,Beverages,29,113.65,0.0,3295.85,0,0,None,0,bKash,Regular
